,firearm_used_flag,zip_code,report_no,age,sex
8583,True,64132,KC20005231,54,M
8606,True,64111,KC20015257,21,M
8637,True,64126,KC20012010,49,M
8670,True,64145,KC20016224,20,M
8673,True,64132,KC20002842,18,M
8679,True,64128,KC20009594,20,F
8714,True,64110,KC20010094,38,F
8733,True,64134,KC20015572,37,M
8740,True,64138,KC20000774,29,F
8750,True,64108,KC20009618,37,M
8762,True,64131,KC20003436,20,M
8789,True,64128,KC20004361,80,M
8793,True,64124,KC20004393,22,M
8816,True,64111,KC20003946,25,M
8849,True,64130,KC20015947,77,F
8881,True,64101,KC20004697,18,M
8908,True,64123,KC20004883,64,F
9007,True,64123,KC20000357,20,F
9051,True,64123,KC20007026,65,M
9095,True,64128,KC20011837,31,M
9150,True,64132,KC20006726,69,M
9161,True,64134,KC20000018,60,F
9200,True,64106,KC20013706,23,M
9201,True,64125,KC20000794,34,F
9206,True,64129,KC20004954,36,M
9208,True,64139,KC20008708,26,M
9249,True,64155,KC20012054,52,F
9269,True,64120,KC20010297,22,M
9294,True,64108,KC20009618,36,M
9318,True,64110,KC20010538,26,F
9323,True,64130,KC20008157,19,M
9330,True,64114,KC20008582,25,M
9340,True,64109,KC20015835,41,M
9346,True,64132,KC20016018,40,M
9388,True,64130,KC20005775,52,M
9396,True,64130,KC20015947,61,M
9400,True,64110,KC20000048,29,M
9403,True,64130,KC20003393,20,M
9425,True,64134,KC20004297,19,M
9433,True,64134,KC20014117,24,F
9483,True,64118,KC20000262,18,F
9493,True,64127,KC20002651,21,M
9611,True,64128,KC20014167,44,M
9619,True,64130,KC20000358,47,M
9639,True,64126,KC20004071,18,M
9646,True,64124,KC20008442,22,F
9664,True,64138,KC20004878,27,F
9676,True,64133,KC20004714,25,F
9696,True,64130,KC20006539,21,M
9703,True,64130,KC20010590,29,F
9707,True,64134,KC20008525,23,F
9749,True,64127,KC20004227,30,M
9763,True,64132,KC20006854,23,M
9771,True,64133,KC20004714,26,M
9778,True,64128,KC20004361,56,M
9823,True,64130,KC20011556,52,M
9827,True,64137,KC20015688,28,F
9833,True,64134,KC20013845,19,M
9856,True,64131,KC20001012,39,F
9875,True,64132,KC20002070,44,M
9911,True,64133,KC20000175,27,M
9925,True,64127,KC20015171,19,M
10012,True,64151,KC20012455,48,M
10023,True,64127,KC20005498,32,M
10034,True,64127,KC20014933,34,M
10039,True,64134,KC20011352,20,M
10044,True,64127,KC20009325,31,M
10056,True,64131,KC20013389,34,M
10080,True,64110,KC20000638,74,M
10097,True,64117,KC20007519,33,M
10118,True,64132,KC20014966,57,M
10196,True,64124,KC20003565,41,M
10225,True,64132,KC20000205,21,F
10228,True,64108,KC20007000,30,F
10277,True,64111,KC20008699,37,M
10289,True,64109,KC20002589,24,F
10327,True,64116,KC20006101,21,M
10340,True,64133,KC20004714,27,M
10344,True,64132,KC20011577,64,M
10355,True,64123,KC20000357,42,M
10373,True,64128,KC20008719,29,M
10382,True,64127,KC20010714,19,M
10451,True,64131,KC20001607,43,M
10458,True,64111,KC20015257,23,M
10464,True,64030,KC20006857,32,M
10498,True,64108,KC20009618,29,M
10518,True,64114,KC20000029,39,F
10533,True,64114,KC20002799,50,F
10535,True,64151,KC20011988,21,M
10542,True,64130,KC20016489,52,M
10594,True,64132,KC20011595,32,M
10633,True,64111,KC20015257,24,F
10636,True,64108,KC20009618,28,F
10727,True,64109,KC20009770,22,M
10746,True,64131,KC20004478,33,M
10759,True,64111,KC20007648,28,F
10783,True,64111,KC20004740,24,M
10799,True,64131,KC20000498,52,M
10810,True,64133,KC20004714,29,M
