,Lat,Lng
8024,39.069988, -94.557003
8028,39.261391, -94.678897
8050,38.940041, -94.605423
8055,39.187974, -94.522373
8059,39.049164, -94.598187
8073,38.921087, -94.516245
8119,39.066865, -94.570266
8137,39.08316, -94.525552
8144,39.013575, -94.54109
8169,39.257799, -94.538883
8176,39.04387, -94.540349
8177,38.971462, -94.605386
8217,39.072367, -94.518139
8229,39.240456, -94.658045
8231,38.947945, -94.518399
8269,39.01876, -94.436097
8294,39.084761, -94.576146
8310,39.11233, -94.515195
8313,39.096694, -94.566963
8316,39.060867, -94.556776
8320,39.018661, -94.390853
8324,39.092255, -94.499969
8360,39.07939, -94.527685
8363,39.011483, -94.574649
8422,39.040385, -94.458286
8437,39.111193, -94.544371
8440,39.101059, -94.590005
8443,38.953971, -94.493921
8462,39.084761, -94.576146
8468,38.92242, -94.592826
8470,39.293035, -94.681463
8489,39.175113, -94.582388
8498,38.920616, -94.583763
8500,39.096259, -94.555019
8505,39.045892, -94.59604
8518,39.243395, -94.561504
8545,39.053142, -94.543343
8562,39.301799, -94.560005
8571,38.888707, -94.475554
8585,39.111602, -94.580938
8593,39.167023, -94.518735
8599,39.242051, -94.461697
8609,39.033747, -94.41578
8610,39.106477, -94.51378
8654,39.184657, -94.527729
8685,39.291812, -94.576656
8690,38.944902, -94.454854
8697,39.033747, -94.41578
8707,39.179903, -94.524767
8718,39.070827, -94.58533
8742,39.07217, -94.571239
8754,39.053555, -94.5548
8784,39.09523, -94.588925
8785,39.065326, -94.585594
8786,39.168396, -94.494642
8826,39.112414, -94.544321
8833,39.057357, -94.55689
8851,38.881605, -94.605304
8853,39.042091, -94.583409
8860,39.074714, -94.547993
8873,39.082082, -94.530937
8880,39.033228, -94.540271
8881,39.104748, -94.50687
8883,39.11254, -94.525682
8888,39.191353, -94.560849
8891,39.107937, -94.546844
8894,39.078058, -94.528774
8895,38.943649, -94.512274
8898,39.078666, -94.548927
8904,39.181639, -94.540643
8914,38.914091, -94.520983
8962,39.293035, -94.681463
8963,39.059403, -94.564993
8976,39.102357, -94.58304
9000,39.110678, -94.582694
9014,38.998349, -94.568419
9025,39.129864, -94.492573
9039,39.252223, -94.655534
9057,38.966498, -94.50055
9064,39.088849, -94.53673
9070,39.084761, -94.576146
9072,38.997545, -94.548763
9117,38.9617, -94.593814
9128,39.106247, -94.586119
9133,38.946824, -94.516968
9143,38.963096, -94.589813
9145,38.921515, -94.55377
9179,39.084761, -94.576146
9205,39.033747, -94.41578
9225,39.070492, -94.571319
9230,39.064592, -94.593971
9284,39.246394, -94.575366
9312,39.084299, -94.544644
9329,39.034577, -94.497804
9335,39.203149, -94.52786
9348,39.161331, -94.557715
