,firearm_used_flag,zip_code,report_no
8633,True,64126,KC20012010
8666,True,64145,KC20016224
8669,True,64132,KC20002842
8675,True,64128,KC20009594
8710,True,64110,KC20010094
8713,True,64111,KC20015257
8729,True,64134,KC20015572
8736,True,64138,KC20000774
8746,True,64108,KC20009618
8758,True,64131,KC20003436
8785,True,64128,KC20004361
8789,True,64124,KC20004393
8812,True,64111,KC20003946
8818,True,64106,KC20009098
8845,True,64130,KC20015947
8860,True,64123,KC20008067
8877,True,64101,KC20004697
8904,True,64123,KC20004883
9003,True,64123,KC20000357
9036,True,64213,KC20016364
9047,True,64123,KC20007026
9091,True,64128,KC20011837
9146,True,64132,KC20006726
9151,True,64132,KC20003456
9157,True,64134,KC20000018
9180,True,64123,KC20003763
9196,True,64106,KC20013706
9197,True,64125,KC20000794
9202,True,64129,KC20004954
9204,True,64139,KC20008708
9231,True,64131,KC20011806
9245,True,64155,KC20012054
9265,True,64120,KC20010297
9290,True,64108,KC20009618
9314,True,64110,KC20010538
9319,True,64130,KC20008157
9326,True,64114,KC20008582
9336,True,64109,KC20015835
9342,True,64132,KC20016018
9384,True,64130,KC20005775
9392,True,64130,KC20015947
9396,True,64110,KC20000048
9399,True,64130,KC20003393
9421,True,64134,KC20004297
9429,True,64134,KC20014117
9479,True,64118,KC20000262
9489,True,64127,KC20002651
9519,True,64131,KC20014956
9572,True,64116,KC20000013
9607,True,64128,KC20014167
9615,True,64130,KC20000358
9635,True,64126,KC20004071
9642,True,64124,KC20008442
9660,True,64138,KC20004878
9672,True,64133,KC20004714
9684,True,64101,KC20001213
9692,True,64130,KC20006539
9699,True,64130,KC20010590
9703,True,64134,KC20008525
9745,True,64127,KC20004227
9759,True,64132,KC20006854
9767,True,64133,KC20004714
9774,True,64128,KC20004361
9783,True,64161,KC20001028
9798,True,64106,KC20008387
9819,True,64130,KC20011556
9823,True,64137,KC20015688
9829,True,64134,KC20013845
9845,True,64130,KC20003430
9848,True,64130,KC20008013
9852,True,64131,KC20001012
9861,True,64124,KC20004033
9871,True,64132,KC20002070
9892,True,64137,KC20007618
9907,True,64133,KC20000175
9921,True,64127,KC20015171
9947,True,64126,KC20012010
9966,True,64154,KC20002387
10003,True,64130,KC20013161
10008,True,64151,KC20012455
10019,True,64127,KC20005498
10030,True,64127,KC20014933
10035,True,64134,KC20011352
10040,True,64127,KC20009325
10052,True,64131,KC20013389
10076,True,64110,KC20000638
10092,True,64137,KC20013799
10093,True,64117,KC20007519
10114,True,64132,KC20014966
10192,True,64124,KC20003565
10208,True,64117,KC20010723
10221,True,64132,KC20000205
10224,True,64108,KC20007000
10273,True,64111,KC20008699
10285,True,64109,KC20002589
10300,True,64128,KC20001032
10317,True,64116,KC20000387
10323,True,64116,KC20006101
10336,True,64133,KC20004714
10340,True,64132,KC20011577
10344,True,64132,KC20002842
10351,True,64123,KC20000357
10369,True,64128,KC20008719
10378,True,64127,KC20010714
10397,True,64124,KC20013315
10447,True,64131,KC20001607
10454,True,64111,KC20015257
10460,True,64030,KC20006857
10494,True,64108,KC20009618
10511,True,64130,KC20009074
10513,True,64128,KC20000814
10514,True,64114,KC20000029
10519,True,64111,KC20011327
10529,True,64114,KC20002799
10531,True,64151,KC20011988
10538,True,64130,KC20016489
10590,True,64132,KC20011595
10623,True,64138,KC20013838
10629,True,64111,KC20015257
10632,True,64108,KC20009618
10649,True,64126,KC20012743
10675,True,64134,KC20014012
10723,True,64109,KC20009770
10742,True,64131,KC20004478
10747,True,64110,KC20000597
10755,True,64111,KC20007648
10779,True,64111,KC20004740
10795,True,64131,KC20000498
10806,True,64133,KC20004714
10815,True,64132,KC20012251
10833,True,64124,KC20013664
10849,True,64124,KC20006710
10870,True,64133,KC20004714
10904,True,64124,KC20000125
10906,True,64134,KC20006238
10909,True,64111,KC20007639
10934,True,64134,KC20013845
10944,True,64106,KC20011621
10962,True,64125,KC20000794
10963,True,64155,KC20007951
10964,True,64134,KC20004297
10996,True,64134,KC20011352
11002,True,64111,KC20015257
11003,True,64138,KC20002736
11004,True,64134,KC20007732
11009,True,64133,KC20004714
11014,True,64134,KC20014012
11021,True,64130,KC20006207
11043,True,64132,KC20006682
11048,True,64131,KC20010302
11049,True,64130,KC20007634
11065,True,64127,KC20000736
11077,True,64134,KC20008379
11091,True,64131,KC20002159
11108,True,64129,KC20010215
11113,True,64110,KC20000638
11126,True,64123,KC20014572
11160,True,64132,KC20000415
11176,True,64134,KC20011352
11195,True,64138,KC20010791
11207,True,64124,KC20010233
11210,True,64127,KC20008917
11213,True,64124,KC20000487
11231,True,64127,KC20002332
11232,True,64130,KC20008013
11235,True,64130,KC20008733
11236,True,64133,KC20004714
11238,True,64134,KC20014960
11239,True,64133,KC20004714
11245,True,64126,KC20015624
11259,True,64109,KC20001735
11353,True,64131,KC20002725
11365,True,64109,KC20015435
11377,True,64030,KC20006857
11393,True,64127,KC20011581
11405,True,64123,KC20009630
11451,True,64126,KC20010080
11491,True,64133,KC20004714
11492,True,64132,KC20006682
11513,True,64128,KC20001032
11538,True,64111,KC20015257
11544,True,64111,KC20015257
11555,True,64114,KC20012472
11563,True,64111,KC20015257
11587,True,64108,KC20000218
11599,True,64155,KC20007525
11620,True,64127,KC20000249
11624,True,64125,KC20000794
11630,True,64155,KC20009838
11648,True,64123,KC20009630
11686,True,64133,KC20000062
11694,True,64134,KC20015702
11714,True,64127,KC20002651
11725,True,64129,KC20015941
11750,True,64127,KC20000621
11757,True,64131,KC20003436
11759,True,64137,KC20004427
11765,True,64132,KC20004057
11782,True,64114,KC20009860
11804,True,64134,KC20004297
11808,True,64137,KC20012786
11835,True,64128,KC20008838
11836,True,64130,KC20015449
11837,True,64130,KC20000457
11853,True,64110,KC20002937
11857,True,64130,KC20006207
11862,True,64127,KC20016606
11866,True,64128,KC20001542
11875,True,64124,KC20004393
11919,True,64130,KC20006539
11938,True,64131,KC20000498
11944,True,64118,KC20004727
11952,True,64131,KC20014755
11958,True,64133,KC20004714
11975,True,64124,KC20010401
11976,True,64106,KC20016206
11980,True,64138,KC20002736
11982,True,64132,KC20000645
11987,True,64130,KC20010200
11991,True,64131,KC20010302
12046,True,64123,KC20000357
12053,True,64116,KC20007512
12076,True,64134,KC20004297
12091,True,64134,KC20016218
12093,True,64111,KC20004740
12126,True,64128,KC20008719
12131,True,64126,KC20001881
12134,True,64128,KC20009594
12148,True,64132,KC20012251
12253,True,64133,KC20002839
12256,True,64030,KC20006857
12270,True,64138,KC20000774
12271,True,64111,KC20015257
12273,True,64133,KC20004714
12290,True,64130,KC20004170
12295,True,64130,KC20011556
12334,True,64132,KC20016792
12355,True,64124,KC20013315
12360,True,64130,KC20008013
12388,True,64110,KC20005131
12401,True,64101,KC20013992
12417,True,64134,KC20010847
12434,True,64137,KC20010067
12441,True,64137,KC20002806
12446,True,64130,KC20012804
12468,True,64126,KC20004310
12506,True,64137,KC20015933
12516,True,64124,KC20013039
12519,True,64130,KC20000810
12530,True,64116,KC20005941
12573,True,64132,KC20013538
12582,True,64106,KC20012133
12601,True,64132,KC20000083
12630,True,64108,KC20009618
12638,True,64129,KC20006251
12658,True,64127,KC20003589
12664,True,64120,KC20010297
12671,True,64130,KC20003393
12678,True,64131,KC20004959
12699,True,64052,KC20010357
12709,True,64130,KC20014607
12752,True,64138,KC20013712
12772,True,64134,KC20004297
12796,True,64110,KC20010094
12805,True,64108,KC20009618
12825,True,64123,KC20004883
12845,True,64129,KC20002599
12858,True,64110,KC20001389
12882,True,64131,KC20010867
12894,True,64106,KC20013706
12899,True,64130,KC20008013
12900,True,64130,KC20005139
12919,True,64132,KC20013754
12932,True,64127,KC20004227
12941,True,64126,KC20001881
12957,True,64128,KC20005334
12970,True,64127,KC20004187
12986,True,64115,KC20013618
13002,True,64128,KC20000753
13003,True,64111,KC20007646
13004,True,64133,KC20000175
13040,True,64106,KC20003970
13046,True,64131,KC20000962
13054,True,64132,KC20010829
13062,True,64132,KC20013571
13067,True,64106,KC20009098
13071,True,64108,KC20008160
13083,True,64137,KC20007493
13119,True,64126,KC20010080
13148,True,64132,KC20000415
13184,True,64131,KC20005218
13186,True,64138,KC20012855
13188,True,64111,KC20001217
13234,True,64129,KC20001538
13280,True,64134,KC20009823
13301,True,64030,KC20006857
13306,True,64151,KC20009863
13387,True,64118,KC20001955
13389,True,64116,KC20000013
13392,True,64129,KC20001292
13427,True,64130,KC20003430
13451,True,64132,KC20008242
13467,True,64124,KC20004033
13475,True,64134,KC20007732
13532,True,64111,KC20011327
13534,True,64127,KC20000621
13536,True,64133,KC20001693
13547,True,64128,KC20009594
13559,True,64124,KC20005246
13594,True,64130,KC20013161
13617,True,64111,KC20015257
13635,True,64127,KC20007585
13638,True,64127,KC20002265
13649,True,64124,KC20002236
13663,True,64130,KC20008013
13673,True,64114,KC20009918
13677,True,64132,KC20008242
13680,True,64132,KC20013754
13696,True,64124,KC20008131
13701,True,64213,KC20016364
13738,True,64127,KC20008917
13765,True,64128,KC20016663
13770,True,64130,KC20009557
13784,True,64134,KC20015702
13819,True,64111,KC20009190
13822,True,64133,KC20004714
13824,True,64124,KC20009638
13866,True,64101,KC20013992
13872,True,64111,KC20005997
13885,True,64130,KC20010590
13931,True,64133,KC20004714
13961,True,64127,KC20015171
13979,True,64127,KC20010714
13982,True,64128,KC20008719
13991,True,64125,KC20000794
14034,True,64134,KC20013845
14043,True,64124,KC20006710
14049,True,64129,KC20005774
14060,True,64134,KC20014012
14082,True,64111,KC20001217
14101,True,64130,KC20007634
14111,True,64133,KC20004714
14134,True,64134,KC20004297
14143,True,64131,KC20000087
14189,True,64119,KC20002828
14199,True,64127,KC20002651
